Name,HMIS Code,FacilityType,AgencyName,OperationalStatus,DistrictName,Latitude,Longitude,Address,ContactPhone,HasRefrigerator,HasPower,StaffCount,CatchmentRadius
Midas Touch Drug Shop,10023811286,doctors,,,Arua,3.03496506,30.89444062,,,,,,
MAZIBA,11001478415,hospital,,,Kabale,-1.32078707,30.10507187,,,,,,
Cure Medical Clinic,1498586602,doctors,,,Kampala,0.30080107,32.62208439,,,,,,
SICK BAY,11073166792,hospital,,,Nakasongola,1.37308780,32.25469426,,,,,,
MUGUSU HEALTH CENTRE III,1835882,hospital,,,Kabarole,0.61135762,30.21274496,,,,,,
MATILIDA,11010338157,clinic,,,Kampala,0.28979026,32.57250560,,,,,,
HEALTH CENTRE II,11001478404,clinic,,,Ntungamo,-0.79155571,30.08929612,,,,,,
Kuru Rural Drug Shop -ariwa Branch.,5566724180,pharmacy,,,Yumbe,3.30822164,31.33441669,,,,,,
AFYA,11010338422,hospital,,,Kampala,0.34533722,32.56871899,,,,,,
drug shop,5215671210,pharmacy,Refugee,,Arua,3.24375994,31.27162325,,,,,,
Elgon Care and Cure Clinic,8415081317,clinic,,,Mayuge,0.33166072,33.52755515,,,,,,
Medicine Drug Sgip,10583475418,clinic,private,,Hoima,1.42129154,31.36823356,Hoima,,,,,
Waliraka Health Center 2,4041889673,doctors,,,Jinja,0.47527457,33.26685097,"Waliraka Road, Kakira Town Council",,,,,
Nansanga Hospital,3966464172,hospital,,,Budaka,0.98457904,33.89526153,"Idudi Road, Nansanga",,,,,
Nimaro Faith Drug Shop,10102769154,doctors,,,Gulu,2.78447532,32.28650065,,,,,,
Buyoboya Health Center II,2067374,clinic,,,Namutumba,0.78505203,33.74816416,Bulange,,,,,
KISUBI,11010338037,hospital,,,Wakiso,0.12143035,32.53613174,,,,,,
BUTIABA HC2,11029993006,clinic,,,Buliisa,1.80916469,31.33421075,,,,,,
ABEI HEALTH CENTRE II,9987789,hospital,,,Kwania,1.68663376,32.59867650,,,,,,
Drug shop,9147491740,pharmacy,,,Zombo,2.37429163,30.87962670,landmark,,,,,
Nakawa Health Care,4003310799,clinic,,,Kampala,0.32986775,32.61390072,,,,,,
Mamre Pharmacy,6652467785,pharmacy,,,Wakiso,0.33262900,32.49166793,Fort Portal - Kampala Road,,,,,
MEDICAL CENTRE,11073166818,hospital,,,Apac,1.97676705,32.49748379,,,,,,
Chahafi Health Center IV,5078024,clinic,government,,Kisoro,-1.33540226,29.77302797,,,,,15,
Ntungamo Medical Centre,8442648518,clinic,,,Ntungamo,-0.87336636,30.26741752,,,,,,
MEDICAL STORE,11010338359,hospital,,,Mukono,0.25267092,32.81569948,,,,,,
MUHUYU HEALTH CENTRE II,5029090,clinic,,,Butaleja,0.70572754,33.87775978,,,,,,
OPIA,11066741293,hospital,,,Arua,2.82202356,30.90173346,,,,,,
NYAKWAE HC III,7462875,hospital,,,Abim,2.52549597,33.94625192,,,,,,
RUSIKIZA,11001478492,hospital,,,Kabale,-1.24337516,30.15996663,,,,,,
NATIRAE HC II,11151161577,hospital,,,Nabilatuk,1.91554596,34.51712935,,,,,,
KAGADI,11029992937,hospital,,,Kagadi,0.94202923,30.80956882,,,,,,
God's Favour Drug Shop,10102833318,doctors,,,Gulu,2.78447138,32.28711764,,,,,,
KASESE MEDICAL CENTRE,11001734133,clinic,,,Kasese,0.17148967,30.06749647,,,,,,
MAYANJA H/C 11,11001654289,clinic,,,Kyotera,-0.82676658,31.52128226,,,,,,
Community Based Clinic - Uganda,606953397,doctors,,,Kampala,0.29996933,32.61993694,,,,,,
Dr. Ambrosoli Health Care Centre III,3967544895,hospital,,,Kaliro,0.89274834,33.50676678,Kaliro,,,,,
MSF Health Centre III,5215672049,clinic,Médecins sans frontières,,Yumbe,3.28762370,31.30977775,,,,,,
Guardian Pharmacy,4104857875,pharmacy,,,Kampala,0.29811458,32.60006328,"Tank Hill Road, kampala",,,,,
Annex Drug Shop,4107569767,pharmacy,,,Kampala,0.28080453,32.60283049,Kampala,,,,,
Sekiwunga HC III,5712629,clinic,Ministry of Health,,Mpigi,0.27576658,32.39995532,,,,,,
Okocheka Health Centre 2,3958468263,doctors,,,Bukedea,1.27800190,34.05458576,Bukedea,,,,,
Wonderful Clinic,8632128790,clinic,private,,Zombo,2.59099283,30.76082579,,,,,1,
PADIPE MISSION,11080417480,hospital,,,Lamwo,3.48488056,32.82450475,,,,,,
Crown Dispenser Uganda Limited,4126674587,doctors,,,Kampala,0.35435673,32.61345664,"Ntinda Road, kampala",,,,,
Agule Health Centre III,2696452,clinic,,,Pallisa,1.28552038,33.70274539,"Kogonyo Road, Agule Subcounty",,,,,
Matinza Clinic,8274342563,doctors,private,,Kisoro,-1.24060008,29.71379164,,,,,1,
AGWATA MATERNITY HOPE HC II,11073166782,hospital,,,Dokolo,1.97274977,32.97878583,,,,,,
Milly and Balongo Health Care,8963738619,clinic,private,,Kampala,0.34313328,32.58487997,,,,,1,
Naigobya NGO Health Centre III,4050456368,doctors,,,Luuka,0.82093378,33.36388047,"Kaliro Buwenge Road, Bukooma",,,,,
HEALTH CENTRE III,11001734084,clinic,,,Kasese,-0.13974288,29.87123069,,,,,,
Merits Children Medical Centre,4099839983,doctors,,,Kampala,0.32832816,32.57491104,"Wandegeya Road, Kampala",,,,,
Good Health Clinic,4102726396,clinic,,,Kampala,0.28629534,32.59685830,"Ggonya Road, Kampala",,,,,
Allan's Clinic,8336695390,doctors,private,,Kisoro,-1.21340173,29.64374164,,,,,1,
Pharmacy and Wellness,4105542225,pharmacy,,,Kampala,0.37827399,32.59909115,kampala,,,,,
Gibmak Pharmacy,8481522917,pharmacy,,,Wakiso,0.38153187,32.64631052,Kyaliwajjala - Kira Road,,,,,
MOROTO HOSPITAL,11151161558,hospital,,,Moroto,2.53868715,34.65782873,,,,,,
Hope Home Care Nursing,8481522218,doctors,,,Wakiso,0.38459973,32.64449215,Kyaliwajjala - Kira Road,,,,,
Ecopharm Phamarcy,4118743389,doctor,,,Kampala,0.31264897,32.57962477,"Luwum Street, Kampala",,,,,
Pajulu Health Center III,10023482341,hospital,,,Arua,2.99755847,30.87107305,,,,,,
Jusam Pharmaceuticals,3806510198,pharmacy,,,Wakiso,0.28145815,32.45713725,,,,,,
RAGEM HEALTH CENTRE II,5949130,hospital,,,Pakwach,2.65168032,31.39380005,,,,,,
Pharma pharmacy,4123943829,doctors,,,Kampala,0.31363057,32.57701397,"William Street, kampala",,,,,
New Clinical Administration Building,4102726448,clinic,,,Kampala,0.28345463,32.58326629,"Mobutu Road, Kampala",,,,,
Northern Pharma,10102769150,pharmacy,,,Gulu,2.76984647,32.29743182,,,,,,
Green Plus,4153591567,pharmacy,,,Gulu,2.77148697,32.29863085,"24, Queen Avenue road, Gulu",,,,,
Bukalasa Health Centre II,4060242972,clinic,,,Luwero,0.70728506,32.51536223,,,,,,
ABI CLINIC,11010338485,clinic,,,Kampala,0.33143206,32.57382399,,,,,,
Medicare Health Clinic,11228519338,clinic,,,Wakiso,0.44575225,32.56090580,,,,,,
Alizaak Pharmacy,10058403213,pharmacy,,,Masaka,-0.34655645,31.73823458,,,,,,
DWOLI,11029993052,clinic,,,Hoima,1.50316270,31.34690347,,,,,,
HEALTH CENTRE II,11007308969,hospital,,,Kazo,0.04369909,30.72545282,,,,,,
Jireh Health Unit and Laboratory Services,4102531669,clinic,,,Kampala,0.33507433,32.60984145,kampala,,,,,
POLYTIVIC CLINIC,11010338173,clinic,,,Kampala,0.31088634,32.57955838,,,,,,
International Medical Center,8274342524,doctors,private,,Kisoro,-1.32936335,29.72597323,,,,,1,
NAKITEMBE UC,11029992986,clinic,,,Kyankwanzi,1.01316762,31.63793270,,,,,,
Otieno Medical Centre And Lab,9992537223,doctor,,,Lira,2.26068935,32.90533195,,,,,,
ST. MICHEAL HEALTH CENTRE NYANKOMA,11029992829,hospital,,,Kagadi,0.95547414,30.77439073,,,,,,
Arua Pharmacy,10020547598,pharmacy,,,Arua,3.03699348,30.89102055,,,,,,
Buphadengo Health Center II,8559414717,clinic,,,Kamuli,0.70559259,33.16001348,,,,,,
ST AUGUSTINE HEALTH CENTRE,11056452306,clinic,,,Busia,0.26254212,33.99048155,,,,,,
NGANDHO HEALTH UNIT II,11056452396,clinic,,,Buyende,1.01595234,33.25754480,,,,,,
LOGOBA HEALTH CENTRE II,11054959851,hospital,,,Moyo,3.68266598,31.70053093,,,,,,
Nabuto Health Care,8963716777,clinic,private,,Kampala,0.34904152,32.58669884,,,,,2,
